<MATCH_ID> 25724 <TEAM> VC NAGANO TRIDENTS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26766 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 26766 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 26766 <TEAM> SUNTORY Sunbirds <SET> 3 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 26777 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26777 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26777 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26777 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26779 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26779 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26779 <TEAM> F.C.TOKYO <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26787 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26787 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26787 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26780 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26780 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27444 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26799 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26799 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 26799 <TEAM> Panasonic PANTHERS <SET> 4 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 26800 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 26800 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 26800 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 26800 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 26804 <TEAM> TORAY ARROWS <SET> 4 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26815 <TEAM> TORAY ARROWS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26815 <TEAM> TORAY ARROWS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26815 <TEAM> TORAY ARROWS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26817 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26817 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 26817 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26818 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 26818 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26818 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 26818 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26812 <TEAM> SAKAI Blazers <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26812 <TEAM> SAKAI Blazers <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26827 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26827 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26827 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26828 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26828 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26828 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26828 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 26833 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26833 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26833 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26833 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26833 <TEAM> Panasonic PANTHERS <SET> 4 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26834 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26836 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26836 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 26836 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26843 <TEAM> F.C.TOKYO <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26843 <TEAM> F.C.TOKYO <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26843 <TEAM> F.C.TOKYO <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26845 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 26848 <TEAM> VC NAGANO TRIDENTS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 26851 <TEAM> OITA MIYOSHI WeisseAdler <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26870 <TEAM> OITA MIYOSHI WeisseAdler <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26870 <TEAM> OITA MIYOSHI WeisseAdler <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26881 <TEAM> TORAY ARROWS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26876 <TEAM> OITA MIYOSHI WeisseAdler <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26876 <TEAM> OITA MIYOSHI WeisseAdler <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26876 <TEAM> OITA MIYOSHI WeisseAdler <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 26876 <TEAM> OITA MIYOSHI WeisseAdler <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 26876 <TEAM> OITA MIYOSHI WeisseAdler <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27690 <TEAM> VC NAGANO TRIDENTS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27694 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27693 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27695 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27695 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27695 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27695 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27700 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27700 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27700 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27701 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27701 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27701 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27701 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27707 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27710 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27710 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27710 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27710 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27710 <TEAM> JTEKT STINGS <SET> 4 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27710 <TEAM> Panasonic PANTHERS <SET> 4 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27711 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27711 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27711 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27711 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27724 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27724 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27724 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27724 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27724 <TEAM> JTEKT STINGS <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27726 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27726 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27726 <TEAM> Panasonic PANTHERS <SET> 4 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27723 <TEAM> SAKAI Blazers <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27723 <TEAM> SAKAI Blazers <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 27723 <TEAM> SAKAI Blazers <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27725 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27725 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27725 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27725 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27725 <TEAM> JTEKT STINGS <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27727 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27727 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27727 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27727 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 27730 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27730 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27730 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27730 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27734 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27734 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27734 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 27731 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27731 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27735 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27735 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27735 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27742 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27742 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27742 <TEAM> Panasonic PANTHERS <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27744 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27744 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27744 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27743 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27743 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27743 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27743 <TEAM> Panasonic PANTHERS <SET> 3 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27743 <TEAM> Panasonic PANTHERS <SET> 4 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27745 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27745 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27745 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27748 <TEAM> VC NAGANO TRIDENTS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27748 <TEAM> VC NAGANO TRIDENTS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27748 <TEAM> VC NAGANO TRIDENTS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27748 <TEAM> VC NAGANO TRIDENTS <SET> 3 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27748 <TEAM> VC NAGANO TRIDENTS <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27749 <TEAM> VC NAGANO TRIDENTS <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27749 <TEAM> VC NAGANO TRIDENTS <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27749 <TEAM> VC NAGANO TRIDENTS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27766 <TEAM> VC NAGANO TRIDENTS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27759 <TEAM> WOLFDOGS NAGOYA <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27759 <TEAM> WOLFDOGS NAGOYA <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27770 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27770 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 27770 <TEAM> SUNTORY Sunbirds <SET> 3 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27771 <TEAM> SUNTORY Sunbirds <SET> 0 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27771 <TEAM> SUNTORY Sunbirds <SET> 1 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 27771 <TEAM> SUNTORY Sunbirds <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27806 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27806 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 4 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27806 <TEAM> Panasonic PANTHERS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'S', 'MB', 'OH', 'O')
<MATCH_ID> 27807 <TEAM> Panasonic PANTHERS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27807 <TEAM> Panasonic PANTHERS <SET> 1 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27810 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27810 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27811 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 27811 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('MB', 'OH', 'O', 'MB', 'OH', 'S')
<MATCH_ID> 27811 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 27818 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27818 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27818 <TEAM> JTEKT STINGS <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27818 <TEAM> JTEKT STINGS <SET> 3 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27818 <TEAM> JTEKT STINGS <SET> 4 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27822 <TEAM> JT Thunders HIROSHIMA <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 27822 <TEAM> JT Thunders HIROSHIMA <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 27822 <TEAM> JT Thunders HIROSHIMA <SET> 2 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27819 <TEAM> JTEKT STINGS <SET> 0 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
<MATCH_ID> 27819 <TEAM> JTEKT STINGS <SET> 1 <VALUE> 5 <PERM> ('O', 'MB', 'OH', 'S', 'MB', 'OH')
